college_name,sat_score,state,institution_type,major,admission_rate,undergrad_enrollment,tuition
Alabama A & M University,947,AL,Public,Unknown,0.6622,5726,27482
University Of Alabama At Birmingham,1251,AL,Public,Unknown,0.8842,12118,29379
Amridge University,1154,AL,Private,Unknown,0.7778,226,18700
University Of Alabama In Huntsville,1321,AL,Public,Unknown,0.7425,6650,29770
Alabama State University,977,AL,Public,Unknown,0.9564,3322,23930
The University Of Alabama,1287,AL,Public,Unknown,0.7582,32323,33382
Central Alabama Community College,1154,AL,Public,Unknown,0.7778,1134,6060
Athens State University,1154,AL,Public,Unknown,0.7778,2407,18700
Auburn University At Montgomery,1090,AL,Public,Unknown,0.9263,2693,22782
Auburn University,1318,AL,Public,Unknown,0.5047,25732,35298
Birmingham-Southern College,1197,AL,Private,Unknown,0.5194,713,40380
Chattahoochee Valley Community College,1154,AL,Public,Unknown,0.7778,1044,6048
South University-Montgomery,1154,AL,Private,Unknown,0.7778,302,19738
Enterprise State Community College,1154,AL,Public,Unknown,0.7778,1476,6540
Coastal Alabama Community College,1154,AL,Public,Unknown,0.7778,4714,25930
Faulkner University,1016,AL,Private,Unknown,0.6613,1555,38340
Gadsden State Community College,1154,AL,Public,Unknown,0.7778,3619,13156
New Beginning College Of Cosmetology,1154,AL,Private,Unknown,0.7778,39,18700
George C Wallace Community College-Dothan,1154,AL,Public,Unknown,0.7778,3053,6120
George C Wallace State Community College-Hanceville,1154,AL,Public,Unknown,0.7778,4413,20600
George C Wallace State Community College-Selma,1154,AL,Public,Unknown,0.7778,828,12080
Herzing University-Birmingham,1154,AL,Private,Unknown,0.9449,445,13420
Huntingdon College,1148,AL,Private,Unknown,0.7083,865,41940
Heritage Christian University,1154,AL,Private,Unknown,1.0,63,24212
J. F. Drake State Community And Technical College,1154,AL,Public,Unknown,0.7778,719,7130
J F Ingram State Technical College,1154,AL,Public,Unknown,0.7778,826,6747
Jacksonville State University,1055,AL,Public,Unknown,0.7622,7030,24824
Jefferson State Community College,1154,AL,Public,Unknown,0.7778,5443,6484
John C Calhoun State Community College,1154,AL,Public,Unknown,0.7778,6928,8060
Lawson State Community College,1154,AL,Public,Unknown,0.7778,2720,15040
University Of West Alabama,1015,AL,Public,Unknown,0.8711,2666,23962
Lurleen B Wallace Community College,1154,AL,Public,Unknown,0.7778,1122,15347
Marion Military Institute,1043,AL,Public,Unknown,0.5917,308,18743
Miles College,1154,AL,Private,Unknown,0.7778,1151,23144
University Of Mobile,1220,AL,Private,Unknown,0.7251,1079,43346
University Of Montevallo,1154,AL,Public,Unknown,0.539,2087,29138
Northwest Shoals Community College,1154,AL,Public,Unknown,0.7778,1924,6671
University Of North Alabama,1154,AL,Public,Unknown,0.9648,5468,24790
Northeast Alabama Community College,1154,AL,Public,Unknown,0.7778,1547,7380
Oakwood University,1154,AL,Private,Unknown,0.5051,1253,40422
Reid State Technical College,1154,AL,Public,Unknown,0.7778,365,7500
Bishop State Community College,1154,AL,Public,Unknown,0.7778,2100,7280
Samford University,1203,AL,Private,Unknown,0.8223,3828,57456
Selma University,1154,AL,Private,Unknown,0.7778,34,11600
Shelton State Community College,1154,AL,Public,Unknown,0.7778,3191,9567
Snead State Community College,1154,AL,Public,Unknown,0.7778,1494,13916
University Of South Alabama,1119,AL,Public,Unknown,0.6549,8540,25809
Spring Hill College,1090,AL,Private,Unknown,0.591,850,41356
Stillman College,1154,AL,Private,Unknown,0.7422,761,26678
Talladega College,1154,AL,Private,Unknown,0.9925,782,25654
H Councill Trenholm State Community College,1154,AL,Public,Unknown,0.7778,1584,7890
Troy University,1086,AL,Public,Unknown,0.9261,10089,24158
Tuskegee University,1121,AL,Private,Unknown,0.3143,2367,43454
United States Sports Academy,1154,AL,Private,Unknown,0.3529,136,19890
Bevill State Community College,1154,AL,Public,Unknown,0.7778,2189,15907
University Of Alaska Anchorage,1154,AK,Public,Unknown,0.6652,6916,29580
Alaska Bible College,1154,AK,Private,Unknown,0.7778,34,22131
University Of Alaska Fairbanks,1154,AK,Public,Unknown,0.7778,4027,25340
University Of Alaska Southeast,1154,AK,Public,Unknown,0.625,920,27128
Alaska Pacific University,1154,AK,Private,Unknown,0.8621,400,35892
Alaska Vocational Technical Center,1154,AK,Public,Unknown,0.7778,452,18700
Charter College,1154,AK,Private,Unknown,0.7778,2277,18978
Alaska Career College,1154,AK,Private,Unknown,0.7778,255,18700
Empire Beauty School-Tucson,1154,AZ,Private,Unknown,0.7778,213,18700
Carrington College-Phoenix North,1154,AZ,Private,Unknown,0.7778,1087,18700
Carrington College-Mesa,1154,AZ,Private,Unknown,0.7778,492,18700
Carrington College-Tucson,1154,AZ,Private,Unknown,0.7778,437,18700
Arizona Academy Of Beauty,1154,AZ,Private,Unknown,0.7778,49,18700
Miller-Motte College-Arizona Automotive Institute,1154,AZ,Private,Unknown,0.7778,513,18700
Brookline College-Phoenix,1154,AZ,Private,Unknown,0.7778,714,18700
Arizona State University Campus Immersion,1154,AZ,Public,Unknown,0.9019,64398,33270
Arizona Western College,1154,AZ,Public,Unknown,0.7778,6198,19528
University Of Arizona,1261,AZ,Public,Unknown,0.8566,40769,33126
Central Arizona College,1154,AZ,Public,Unknown,0.7778,4892,15451
Charles Of Italy Beauty College,1154,AZ,Private,Unknown,0.7778,88,18700
Cochise County Community College District,1154,AZ,Public,Unknown,0.7778,3007,16494
Empire Beauty School-Chandler,1154,AZ,Private,Unknown,0.7778,98,18700
Avalon Institute-Mesa,1154,AZ,Private,Unknown,0.7778,388,18700
Eastern Arizona College,1154,AZ,Public,Unknown,0.7778,3058,14428
Embry-Riddle Aeronautical University-Prescott,1256,AZ,Private,Unknown,0.7519,3245,63268
The School Of Architecture,1154,AZ,Private,Unknown,0.7778,1107,18700
Glendale Community College,1154,AZ,Public,Unknown,0.7778,10180,3822
Grand Canyon University,1095,AZ,Private,Unknown,0.6036,68619,33662
Gateway Community College,1154,AZ,Public,Unknown,0.7778,3473,3822
Mesa Community College,1154,AZ,Public,Unknown,0.7778,12049,3822
Mohave Community College,1154,AZ,Public,Unknown,0.7778,2750,2856
Universal Technical Institute Of Arizona Inc-Motorcycle Mechanics Institute Division,1154,AZ,Private,Unknown,0.7778,567,18700
Dine College,1154,AZ,Public,Unknown,0.7778,1507,12700
